Fold 9 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.1163	0.1165	0.4959	0.3945	0.5937	0.4261
20	0.0555	0.0567	0.6468	0.5134	0.8209	0.5685
30	0.0162	0.0143	0.6982	0.4694	0.9104	0.5400
40	0.0015	0.0011	0.6385	0.4284	0.9469	0.5305
50	0.0001	0.0001	0.8093	0.5196	0.9453	0.5632
60	0.0000	0.0000	0.8093	0.5475	0.9453	0.5921
70	0.0000	0.0001	0.8093	0.5570	0.9453	0.6015
80	0.0000	0.0000	0.8093	0.5475	0.9453	0.5919
90	0.0001	0.0000	0.8093	0.5475	0.9453	0.5917
100	0.0000	0.0000	0.8093	0.5475	0.9453	0.5919
