Fold 3 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.0985	0.1142	0.5414	0.4248	0.6556	0.4608
20	0.0521	0.0581	0.5298	0.4436	0.6424	0.4789
30	0.0202	0.0209	0.4818	0.3270	0.6060	0.3670
40	0.0025	0.0022	0.7798	0.4732	0.9007	0.5114
50	0.0002	0.0002	0.7748	0.5010	0.9321	0.5513
60	0.0001	0.0001	0.5828	0.4519	0.9321	0.5724
70	0.0001	0.0001	0.8096	0.4206	0.9089	0.4527
80	0.0000	0.0000	0.8096	0.5258	0.9089	0.5581
90	0.0000	0.0001	0.8096	0.4206	0.9139	0.4551
100	0.0000	0.0000	0.8096	0.5496	0.9139	0.5834
