Fold 1 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.1003	0.1292	0.5795	0.4601	0.7682	0.5222
20	0.0509	0.0583	0.3493	0.2777	0.5778	0.3512
30	0.0209	0.0225	0.6490	0.4482	0.8030	0.4982
40	0.0033	0.0032	0.8030	0.5204	0.9056	0.5539
50	0.0002	0.0003	0.5795	0.3740	0.8874	0.4819
60	0.0002	0.0001	0.5530	0.4117	0.8874	0.5181
70	0.0000	0.0000	0.5513	0.4110	0.9172	0.5316
80	0.0000	0.0000	0.5513	0.3796	0.9172	0.5001
90	0.0000	0.0000	0.5795	0.4219	0.9172	0.5385
100	0.0000	0.0000	0.5795	0.4219	0.9172	0.5323
