Fold 10 Metrics:
Epoch	TrainLoss	ValLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.4610	0.4324	0.4639	0.7140	0.5661	0.8560	0.6122
20	0.3608	0.3393	0.3670	0.6627	0.5395	0.7870	0.5798
30	0.3073	0.2883	0.3035	0.6607	0.5376	0.7594	0.5687
40	0.2703	0.2426	0.2850	0.6469	0.5280	0.7436	0.5587
50	0.2450	0.2296	0.2520	0.6450	0.5299	0.7219	0.5543
60	0.2236	0.2037	0.2300	0.6351	0.5218	0.7239	0.5505
70	0.2070	0.1874	0.2185	0.6410	0.5289	0.7160	0.5533
80	0.1921	0.1848	0.2031	0.6371	0.5268	0.7081	0.5500
90	0.1820	0.1637	0.1918	0.6292	0.5242	0.7081	0.5496
100	0.1746	0.1597	0.1803	0.6351	0.5240	0.7160	0.5505
