Fold p1 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.1089	0.1343	0.5306	0.4200	0.6349	0.4538
20	0.0840	0.1006	0.5993	0.4655	0.7359	0.5096
30	0.0629	0.0761	0.5720	0.4485	0.6846	0.4847
40	0.0488	0.0568	0.5613	0.4401	0.6912	0.4817
50	0.0353	0.0389	0.5298	0.3732	0.6407	0.4090
60	0.0251	0.0248	0.5778	0.4296	0.7442	0.4832
70	0.0186	0.0166	0.6134	0.4470	0.8005	0.5074
80	0.0108	0.0097	0.6341	0.4406	0.8791	0.5242
90	0.0047	0.0052	0.5306	0.3986	0.9313	0.5354
100	0.0018	0.0016	0.5306	0.3986	0.9164	0.5311
