Fold 4 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.0947	0.1392	0.6374	0.4988	0.8030	0.5526
20	0.0479	0.0589	0.4205	0.2798	0.5844	0.3316
30	0.0162	0.0154	0.5182	0.3815	0.8758	0.4984
40	0.0015	0.0013	0.5348	0.3978	0.9040	0.5247
50	0.0001	0.0001	0.5298	0.2271	0.9189	0.3606
60	0.0001	0.0001	0.5795	0.2587	0.9040	0.3672
70	0.0000	0.0001	0.5695	0.2784	0.9189	0.3900
80	0.0000	0.0000	0.5695	0.2716	0.9189	0.3879
90	0.0000	0.0000	0.5795	0.2791	0.9189	0.3919
100	0.0000	0.0000	0.5695	0.2935	0.9189	0.4134
