Fold 8 Metrics:
Epoch	TrainLoss	ValLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.5211	0.5195	0.5146	0.7894	0.6042	0.8799	0.6329
20	0.4076	0.4145	0.4078	0.7303	0.5804	0.8484	0.6184
30	0.3468	0.3484	0.3485	0.6949	0.5695	0.8130	0.6071
40	0.3042	0.3101	0.3093	0.6594	0.5536	0.8012	0.5990
50	0.2746	0.2711	0.2827	0.6476	0.5447	0.7874	0.5900
60	0.2505	0.2515	0.2581	0.6457	0.5471	0.7736	0.5889
70	0.2322	0.2337	0.2428	0.6398	0.5473	0.7638	0.5871
80	0.2182	0.2243	0.2219	0.6516	0.5501	0.7638	0.5861
90	0.2054	0.2044	0.2152	0.6457	0.5507	0.7461	0.5830
100	0.1964	0.1983	0.1997	0.6417	0.5462	0.7500	0.5806
