Fold 2 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.1096	0.1126	0.6291	0.5170	0.7235	0.5486
20	0.0428	0.0425	0.6606	0.5373	0.8245	0.5900
30	0.0076	0.0077	0.6093	0.4758	0.9272	0.5835
40	0.0005	0.0008	0.8046	0.4227	0.9421	0.4672
50	0.0004	0.0008	0.4205	0.2528	0.9470	0.4267
60	0.0000	0.0001	0.8245	0.5438	0.9470	0.5833
70	0.0002	0.0002	0.8245	0.4231	0.9470	0.4629
80	0.0000	0.0000	0.8245	0.5438	0.9470	0.5836
90	0.0001	0.0001	0.8245	0.5290	0.9404	0.5664
100	0.0000	0.0000	0.8245	0.5795	0.9470	0.6193
