Fold 6 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.1054	0.0992	0.5257	0.4553	0.6086	0.4816
20	0.0478	0.0472	0.7098	0.5565	0.8060	0.5877
30	0.0108	0.0096	0.8143	0.5783	0.9403	0.6198
40	0.0008	0.0009	0.8491	0.5690	0.9403	0.5987
50	0.0001	0.0002	0.8292	0.5527	0.9436	0.5895
60	0.0000	0.0001	0.8292	0.5527	0.9436	0.5893
70	0.0000	0.0000	0.8292	0.5527	0.9403	0.5889
80	0.0000	0.0000	0.8292	0.5537	0.9403	0.5894
90	0.0000	0.0000	0.8292	0.5527	0.9403	0.5889
100	0.0000	0.0000	0.8292	0.5537	0.9403	0.5900
