Fold 8 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.1302	0.3295	0.5811	0.5166	0.6275	0.5316
20	0.1588	0.2936	0.6788	0.6283	0.7185	0.6416
30	0.0937	0.2731	0.7136	0.6674	0.7467	0.6783
40	0.0549	0.2344	0.7500	0.7025	0.7798	0.7119
50	0.0697	0.2211	0.7765	0.7293	0.7947	0.7353
60	0.0209	0.2097	0.7815	0.7319	0.7930	0.7356
70	0.0840	0.1968	0.8013	0.7582	0.8146	0.7627
80	0.0281	0.1900	0.8113	0.7645	0.8278	0.7697
90	0.0244	0.1905	0.8046	0.7668	0.8195	0.7718
100	0.0318	0.1835	0.8063	0.7621	0.8179	0.7659
