Fold 4 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.1626	0.3219	0.5977	0.5231	0.6407	0.5367
20	0.0877	0.2743	0.6937	0.6103	0.7252	0.6207
30	0.0853	0.2642	0.7268	0.6611	0.7616	0.6722
40	0.0494	0.2424	0.7483	0.6939	0.7815	0.7048
50	0.0629	0.2179	0.7765	0.7323	0.8030	0.7407
60	0.0645	0.2066	0.7881	0.7413	0.8063	0.7472
70	0.0279	0.2155	0.7881	0.7471	0.8046	0.7524
80	0.0585	0.2055	0.7715	0.7251	0.7997	0.7344
90	0.0367	0.1823	0.8063	0.7685	0.8295	0.7761
100	0.0233	0.2086	0.7897	0.7486	0.8179	0.7578
