Fold 7 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.2699	0.4385	0.5158	0.4745	0.5572	0.4880
20	0.0894	0.2745	0.7894	0.7329	0.8209	0.7433
30	0.0238	0.2381	0.8292	0.7807	0.8541	0.7887
40	0.0289	0.2165	0.8358	0.8028	0.8557	0.8091
50	0.0372	0.2043	0.8441	0.8022	0.8640	0.8086
60	0.0318	0.2013	0.8458	0.8214	0.8624	0.8266
70	0.0627	0.1991	0.8408	0.8082	0.8541	0.8127
80	0.0123	0.1922	0.8408	0.8132	0.8574	0.8184
90	0.0163	0.1986	0.8391	0.7973	0.8507	0.8011
100	0.0304	0.2007	0.8143	0.7814	0.8358	0.7883
