Fold 2 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.2294	0.3261	0.5778	0.5174	0.6374	0.5369
20	0.1224	0.2741	0.7053	0.6432	0.7384	0.6541
30	0.0738	0.2541	0.7517	0.6809	0.7815	0.6904
40	0.0757	0.2139	0.7831	0.7267	0.8096	0.7352
50	0.0672	0.2128	0.7815	0.7357	0.8079	0.7442
60	0.0246	0.2147	0.7881	0.7493	0.8113	0.7572
70	0.0426	0.2071	0.7732	0.7318	0.8063	0.7428
80	0.0323	0.2066	0.8013	0.7641	0.8212	0.7707
90	0.0651	0.2004	0.7947	0.7509	0.8195	0.7590
100	0.0314	0.1992	0.8245	0.7809	0.8344	0.7843
