Fold p2 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.3348	0.3759	0.4305	0.3476	0.5141	0.3748
20	0.1817	0.2864	0.6118	0.5296	0.6680	0.5480
30	0.1280	0.2508	0.6540	0.5750	0.7103	0.5934
40	0.1047	0.2151	0.7169	0.6339	0.7690	0.6509
50	0.0865	0.1881	0.7608	0.6888	0.7988	0.7011
60	0.1116	0.1768	0.7831	0.7078	0.8187	0.7196
70	0.0638	0.1891	0.7566	0.6809	0.7997	0.6946
80	0.1013	0.1558	0.7964	0.7260	0.8328	0.7379
90	0.0592	0.1597	0.7939	0.7212	0.8344	0.7344
100	0.0610	0.1498	0.8146	0.7505	0.8460	0.7608
