Fold 5 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.1401	0.3254	0.5679	0.5044	0.6358	0.5262
20	0.1887	0.2657	0.6904	0.6209	0.7252	0.6323
30	0.0995	0.2489	0.7185	0.6459	0.7550	0.6579
40	0.0308	0.2276	0.7533	0.6958	0.7980	0.7105
50	0.0529	0.2113	0.7483	0.7015	0.7897	0.7147
60	0.0432	0.2025	0.7947	0.7474	0.8162	0.7543
70	0.0522	0.1925	0.7930	0.7522	0.8113	0.7582
80	0.0252	0.2000	0.7848	0.7485	0.8063	0.7557
90	0.0784	0.2035	0.7864	0.7266	0.8079	0.7336
100	0.0153	0.1893	0.8262	0.7925	0.8394	0.7968
