Fold p3 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.3152	0.4923	0.3295	0.2647	0.4553	0.3016
20	0.1851	0.3873	0.5331	0.4546	0.6440	0.4876
30	0.1417	0.3725	0.5828	0.4938	0.6987	0.5277
40	0.1303	0.3247	0.6705	0.5839	0.7517	0.6077
50	0.1082	0.3142	0.6904	0.6063	0.7500	0.6238
60	0.0949	0.2655	0.7003	0.6177	0.7732	0.6394
70	0.0699	0.2466	0.7235	0.6543	0.7798	0.6707
80	0.0776	0.2380	0.7334	0.6625	0.7914	0.6794
90	0.0806	0.2357	0.7318	0.6422	0.8030	0.6636
100	0.0611	0.2346	0.7483	0.6847	0.7930	0.6982
