Fold 1 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.1399	0.3111	0.6010	0.5263	0.6407	0.5395
20	0.1538	0.2566	0.7252	0.6572	0.7566	0.6673
30	0.0737	0.2580	0.7036	0.6502	0.7450	0.6636
40	0.0756	0.2168	0.7682	0.7172	0.7881	0.7237
50	0.0501	0.2168	0.7815	0.7290	0.8162	0.7403
60	0.0796	0.2050	0.7897	0.7521	0.8179	0.7612
70	0.0405	0.1935	0.7930	0.7550	0.8129	0.7616
80	0.0146	0.1766	0.8113	0.7713	0.8311	0.7778
90	0.0518	0.1912	0.7914	0.7451	0.8129	0.7523
100	0.0019	0.1812	0.8046	0.7641	0.8228	0.7699
