Fold 10 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.2567	0.4498	0.5473	0.4933	0.5837	0.5046
20	0.0714	0.2739	0.7927	0.7353	0.8292	0.7474
30	0.0313	0.2276	0.8458	0.8057	0.8657	0.8123
40	0.0432	0.2163	0.8491	0.8123	0.8657	0.8178
50	0.0344	0.2089	0.8557	0.8246	0.8706	0.8295
60	0.0097	0.2036	0.8458	0.8102	0.8624	0.8155
70	0.0395	0.1978	0.8541	0.8134	0.8624	0.8160
80	0.0371	0.1971	0.8391	0.8109	0.8574	0.8169
90	0.0526	0.2016	0.8375	0.8011	0.8524	0.8057
100	0.0562	0.2026	0.8226	0.7811	0.8491	0.7900
