Fold 3 Metrics:
Epoch	TrainLoss	TestLoss	HR@5	NDCG@5	HR@10	NDCG@10
10	0.5545	0.6276	0.1407	0.0964	0.1987	0.1155
20	0.5376	0.5617	0.2053	0.1362	0.2798	0.1604
30	0.4382	0.5356	0.2169	0.1550	0.2964	0.1806
40	0.4662	0.5382	0.2136	0.1487	0.2997	0.1763
50	0.4524	0.5354	0.2086	0.1469	0.2930	0.1739
60	0.4242	0.5367	0.1987	0.1439	0.2715	0.1677
70	0.3919	0.5388	0.1838	0.1348	0.2848	0.1672
80	0.3919	0.5387	0.2252	0.1609	0.2947	0.1827
90	0.3811	0.5442	0.2136	0.1544	0.2781	0.1751
100	0.3579	0.5515	0.2103	0.1578	0.2964	0.1856
